name,version,directory,repository,summary,from package.json,from license,from readme
@aashutoshrathi/word-wrap,1.2.6,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@aashutoshrathi/word-wrap,https://github.com/aashutoshrathi/word-wrap,MIT,MIT,MIT,
@ampproject/remapping,2.3.0,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@ampproject/remapping,https://github.com/ampproject/remapping,Apache;Apache-2.0,Apache-2.0,Apache,
@babel/runtime,7.24.4,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@babel/runtime,https://github.com/babel/babel,MIT,MIT,MIT,
@capacitor/android,5.7.4,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/android,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/app,5.0.7,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/app,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@capacitor/cli,5.7.4,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/cli,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/core,5.7.4,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/core,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/network,5.0.7,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/network,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@capacitor/status-bar,5.0.7,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/status-bar,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@capacitor/toast,5.0.7,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capacitor/toast,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@capgo/capacitor-navigation-bar,6.0.12,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@capgo/capacitor-navigation-bar,https://github.com/Cap-go/capacitor-navigation-bar,MIT,MIT,MIT,
@esbuild/linux-x64,0.18.20,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@esbuild/linux-x64,https://github.com/evanw/esbuild,MIT,MIT,,
@eslint-community/eslint-utils,4.4.0,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@eslint-community/eslint-utils,https://github.com/eslint-community/eslint-utils,MIT,MIT,MIT,
@eslint-community/regexpp,4.10.0,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@eslint-community/regexpp,https://github.com/eslint-community/regexpp,MIT,MIT,MIT,
@eslint/eslintrc,2.1.4,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@eslint/eslintrc,eslint/eslintrc,MIT,MIT,,MIT
@eslint/js,8.57.0,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@eslint/js,https://github.com/eslint/eslint,MIT,MIT,,MIT
@fastify/busboy,2.1.1,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@fastify/busboy,https://github.com/fastify/busboy,MIT,MIT,,
@floating-ui/core,1.6.0,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@floating-ui/core,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@floating-ui/dom,1.6.3,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@floating-ui/dom,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@floating-ui/utils,0.2.1,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@floating-ui/utils,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@humanwhocodes/config-array,0.11.14,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@humanwhocodes/config-array,https://github.com/humanwhocodes/config-array,Apache;Apache-2.0,Apache-2.0,Apache,
@humanwhocodes/module-importer,1.0.1,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@humanwhocodes/module-importer,https://github.com/humanwhocodes/module-importer,Apache;Apache-2.0,Apache-2.0,Apache,
@humanwhocodes/object-schema,2.0.3,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@humanwhocodes/object-schema,https://github.com/humanwhocodes/object-schema,BSD;BSD-3-Clause,BSD-3-Clause,BSD,BSD
@ionic/cli-framework-output,2.2.8,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@ionic/cli-framework-output,https://github.com/ionic-team/ionic-cli,MIT,MIT,MIT,
@ionic/core,7.8.3,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@ionic/core,https://github.com/ionic-team/ionic-framework,MIT,MIT,MIT,
@ionic/pwa-elements,3.2.2,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@ionic/pwa-elements,https://github.com/ionic-team/ionic-pwa-elements,MIT,MIT,MIT,
@ionic/utils-array,2.1.6,/home/apostolos/Documents/Computer Science/software/StudentCompanion/node_modules/@ionic/utils-array,https://github.com/ionic-team/ionic-cli,MIT,MIT,MIT,
